DATE,WIND,RAIN,T.MAX,T.MIN,T.MIN.G
1978-03-05,6.08,0.0,8.9,-3.2,-10.5
1978-03-06,8.58,0.0,11.4,2.0,-6.5
1978-03-07,14.17,0.8,10.7,7.8,1.0
1978-03-08,10.67,0.0,13.9,8.2,4.0
1978-03-09,2.79,1.4,13.0,4.2,-4.7
1978-03-10,4.63,0.0,15.6,6.9,-1.7
1978-03-11,3.63,2.0,10.6,6.5,-0.7
1978-03-12,13.13,0.0,11.0,5.0,-3.0
1978-03-13,11.79,1.0,11.0,3.5,-3.0
1978-03-14,21.87,3.2,9.6,5.8,1.7
1978-03-15,16.08,0.6,9.7,4.1,-2.5
1978-03-16,9.13,5.1,6.5,-1.1,-9.0
1978-03-17,6.5,0.7,6.9,-0.1,-7.0
1978-03-18,7.83,1.2,11.0,-2.7,-10.3
1978-03-19,17.0,4.7,12.0,4.0,-2.3
1978-03-20,13.13,5.5,9.5,2.9,-3.5
1978-03-21,14.29,0.8,10.8,0.9,-5.8
1978-03-22,18.0,6.2,12.2,1.2,-0.7
1978-03-23,20.12,0.7,8.6,1.5,-4.5
1978-03-24,15.46,1.6,10.2,2.5,-4.8
1978-03-25,17.25,1.9,8.3,2.4,-2.5
1978-03-26,15.92,1.8,11.1,1.2,-5.0
1978-03-27,20.17,0.1,12.5,5.6,2.1
1978-03-28,18.08,2.0,12.2,7.4,0.5
1978-03-29,20.08,0.8,10.3,5.9,-0.4
1978-03-30,11.46,0.8,11.9,3.9,-4.0
1978-03-31,12.54,0.7,9.0,5.6,-2.8
1978-04-01,2.67,0.0,10.2,3.9,-3.0
1978-04-02,4.71,0.2,10.5,5.5,-2.5
1978-04-03,6.71,0.0,9.5,4.9,-0.8
1978-04-04,9.83,0.0,9.2,5.5,-4.0
1978-04-05,9.5,0.0,9.4,4.8,-5.5
1978-04-06,7.58,0.0,9.9,2.9,-5.7
1978-04-07,6.5,0.0,8.5,2.0,-4.9
1978-04-08,2.04,0.0,9.2,4.0,-4.7
1978-04-09,8.33,0.0,11.0,3.8,-4.6
1978-04-10,11.79,0.4,4.5,-2.0,-8.1
1978-04-11,9.5,0.6,8.5,-0.9,-7.7
1978-04-12,8.58,2.0,9.0,3.6,-2.7
1978-04-13,14.25,0.3,11.3,2.7,-0.9
1978-04-14,9.46,0.0,10.8,-0.8,-8.3
1978-04-15,4.08,0.0,10.4,-0.3,-6.2
1978-04-16,5.83,0.0,13.8,6.3,1.5
1978-04-17,15.16,4.2,9.9,5.5,-3.5
1978-04-18,8.12,4.1,9.7,5.4,1.3
1978-04-19,11.12,1.7,10.0,5.6,-2.0
1978-04-20,11.25,3.5,11.3,7.1,-2.2
1978-04-21,7.38,0.1,12.7,6.3,1.8
1978-04-22,9.5,0.0,11.0,2.5,-3.0
1978-04-23,8.42,0.0,14.0,5.0,-4.0
1978-04-24,9.5,0.0,14.2,5.0,-4.5
1978-04-25,13.0,0.2,8.1,6.0,-1.0
1978-04-26,8.54,0.3,9.4,5.0,0.5
1978-04-27,6.5,0.0,9.2,1.0,-8.0
1978-04-28,3.33,0.0,10.6,-1.0,-10.2
1978-04-29,7.25,0.1,11.4,3.2,-0.1
1978-04-30,17.16,8.4,7.9,6.1,0.0
1978-05-01,11.17,0.5,7.7,6.2,3.0
1978-05-02,9.62,0.7,9.2,6.2,2.3
1978-05-03,3.96,0.3,10.8,5.1,-2.5
1978-05-04,5.96,4.2,13.3,2.0,-5.0
1978-05-05,8.79,2.1,16.2,2.9,-4.9
1978-05-06,5.41,0.1,12.1,4.2,-1.8
1978-05-07,3.67,0.4,13.2,6.7,1.0
1978-05-08,6.34,0.1,12.2,7.9,4.2
1978-05-09,4.79,0.0,15.9,8.3,0.3
1978-05-10,5.04,0.0,20.1,6.3,-3.0
1978-05-11,10.88,0.4,18.8,6.3,8.0
1978-05-12,13.79,0.5,12.5,5.2,-1.7
1978-05-13,10.08,3.6,13.5,7.4,2.0
1978-05-14,4.58,6.0,12.5,7.1,2.5
1978-05-15,2.37,0.0,12.8,7.0,1.0
1978-05-16,3.33,0.0,13.2,5.2,-5.0
1978-05-17,3.88,0.0,16.0,3.5,-5.2
1978-05-18,3.17,0.0,16.5,8.6,5.0
1978-05-19,3.04,0.0,13.9,4.8,-4.5
1978-05-20,2.29,0.0,15.0,3.0,-2.5
1978-05-21,3.04,0.0,15.9,5.5,-5.0
1978-05-22,2.92,0.0,16.1,4.9,
1978-05-23,8.5,0.4,19.8,9.1,1.5
1978-05-24,8.29,0.0,16.8,8.0,1.5
1978-05-25,3.92,0.0,16.2,8.6,0.8
1978-05-26,0.83,0.1,18.0,10.6,9.0
1978-05-27,1.67,0.0,19.0,14.3,9.3
1978-05-28,2.13,0.0,20.2,9.8,0.3
1978-05-29,4.88,0.0,21.5,8.7,-0.4
1978-05-30,4.88,0.0,19.9,11.9,3.0
1978-05-31,4.83,0.0,22.5,12.5,
1978-06-01,6.46,0.0,23.6,14.0,6.6
1978-06-02,2.79,0.0,18.2,12.3,2.3
1978-06-03,4.54,0.0,19.5,11.0,3.8
1978-06-04,5.63,2.8,20.0,13.0,4.0
1978-06-05,11.75,0.0,18.4,12.0,4.5
1978-06-06,9.29,0.4,18.8,11.0,4.9
1978-06-07,7.12,4.2,14.5,11.0,5.0
1978-06-08,6.34,0.0,16.0,7.5,0.1
1978-06-09,9.5,0.0,16.0,9.0,4.0
1978-06-10,8.71,0.0,17.8,8.6,5.8
1978-06-11,8.04,0.0,17.5,7.3,5.6
1978-06-12,6.58,0.0,16.0,10.1,9.6
1978-06-13,5.04,0.0,16.2,5.4,2.0
1978-06-14,4.75,4.0,15.7,10.5,7.0
1978-06-15,4.08,3.8,12.8,10.0,7.0
1978-06-16,16.5,1.7,17.2,9.7,9.0
1978-06-17,12.42,0.0,19.4,9.9,7.2
1978-06-18,1.71,0.0,23.2,8.0,1.5
1978-06-19,7.41,0.0,18.2,9.6,6.0
1978-06-20,4.54,4.8,15.8,7.7,2.5
1978-06-21,3.04,8.3,15.2,10.9,10.6
1978-06-22,6.21,0.7,14.7,8.2,8.0
1978-06-23,10.34,0.2,12.7,5.1,1.1
1978-06-24,12.67,0.1,15.5,6.2,2.5
1978-06-25,9.33,0.0,14.6,8.8,4.0
1978-06-26,9.42,0.0,14.5,7.4,3.5
1978-06-27,10.79,0.0,17.5,8.9,5.0
1978-06-28,14.0,0.1,19.5,10.6,11.0
1978-06-29,9.67,1.2,17.5,11.4,9.2
1978-06-30,9.17,1.5,18.3,9.9,7.5
1978-07-01,12.42,3.3,17.9,11.1,10.1
1978-07-02,11.92,1.8,16.8,13.2,13.0
1978-07-03,13.7,7.2,14.3,9.0,6.8
1978-07-04,13.7,0.1,13.0,9.7,8.3
1978-07-05,12.38,0.0,15.5,9.0,9.2
1978-07-06,11.79,0.3,18.1,8.8,5.0
1978-07-07,11.92,0.8,20.2,7.3,4.0
1978-07-08,11.67,1.3,15.5,11.8,10.5
1978-07-09,4.42,3.2,17.9,12.7,9.8
1978-07-10,3.88,3.8,15.7,13.6,14.0
1978-07-11,2.83,0.1,17.8,10.5,6.9
1978-07-12,1.63,0.0,20.0,7.7,4.5
1978-07-13,0.83,0.0,20.5,8.1,4.5
1978-07-14,3.17,0.0,22.3,12.0,6.9
1978-07-15,2.79,0.0,17.5,10.5,5.9
1978-07-16,2.33,0.0,17.0,10.5,7.0
1978-07-17,1.83,0.0,15.5,11.5,5.0
1978-07-18,7.17,0.8,19.5,13.2,6.4
1978-07-19,11.87,0.1,16.0,12.3,7.2
1978-07-20,7.58,0.0,16.9,10.6,6.5
1978-07-21,4.67,0.0,19.0,11.1,7.0
1978-07-22,13.83,0.1,19.3,13.9,10.5
1978-07-23,10.08,1.6,20.7,14.7,11.4
1978-07-24,9.33,0.1,18.7,10.5,6.3
1978-07-25,8.42,10.9,17.9,10.5,4.0
1978-07-26,7.04,5.1,20.8,12.4,11.7
1978-07-27,10.5,0.8,21.4,15.1,11.8
1978-07-28,9.92,0.0,21.6,12.3,8.5
1978-07-29,4.08,0.0,22.0,10.5,4.9
1978-07-30,2.92,2.2,21.4,11.2,7.1
1978-07-31,12.17,0.0,18.3,12.9,10.8
1978-08-01,9.33,14.3,14.9,13.3,11.3
1978-08-02,4.5,0.0,19.6,12.9,11.2
1978-08-03,9.62,0.1,16.4,13.4,10.7
1978-08-04,5.54,1.8,17.6,10.0,5.3
1978-08-05,1.38,67.0,16.4,13.2,10.9
1978-08-06,6.92,0.2,18.5,12.0,10.0
1978-08-07,5.96,0.0,16.3,11.3,7.1
1978-08-08,7.75,0.1,15.9,11.3,9.9
1978-08-09,3.17,0.0,16.9,11.1,10.4
1978-08-10,3.08,0.0,18.5,9.9,4.9
1978-08-11,6.42,11.7,20.0,8.5,3.5
1978-08-12,5.54,1.4,20.0,12.3,7.5
1978-08-13,6.25,13.2,18.8,11.5,6.7
1978-08-14,7.5,2.3,21.3,14.2,12.1
1978-08-15,8.54,5.3,17.1,12.8,8.5
1978-08-16,10.83,0.1,17.8,11.2,7.6
1978-08-17,4.79,0.0,19.4,8.3,3.2
1978-08-18,9.92,3.5,18.5,13.2,7.0
1978-08-19,3.88,6.3,17.5,15.5,13.8
1978-08-20,5.41,0.3,20.0,10.5,5.8
1978-08-21,12.38,4.2,22.9,14.7,10.7
1978-08-22,4.33,0.0,18.7,16.0,15.0
1978-08-23,1.25,0.0,16.9,13.2,11.8
1978-08-24,1.33,0.0,18.6,12.8,12.0
1978-08-25,1.46,0.0,19.8,14.3,12.2
1978-08-26,0.75,0.0,19.5,10.2,8.5
1978-08-27,1.54,0.0,15.5,9.5,5.0
1978-08-28,2.42,0.0,20.0,13.0,9.5
1978-08-29,6.92,0.0,17.2,11.3,6.2
1978-08-30,7.58,0.0,18.0,10.7,7.3
1978-08-31,8.87,0.0,14.8,11.6,7.0
1978-09-01,7.25,0.0,15.5,10.0,6.0
1978-09-02,6.13,0.0,16.3,8.5,4.5
1978-09-03,4.12,0.0,19.3,10.6,4.9
1978-09-04,5.09,0.1,17.8,9.3,3.7
1978-09-05,3.25,2.8,18.0,12.3,9.3
1978-09-06,7.38,2.8,19.8,12.3,6.0
1978-09-07,9.21,0.0,20.1,14.0,10.7
1978-09-08,8.21,11.0,20.8,9.6,3.6
1978-09-09,15.29,1.2,21.9,13.2,9.5
1978-09-10,15.67,2.9,22.5,15.2,14.9
1978-09-11,18.5,0.0,17.0,12.4,9.5
1978-09-12,9.08,0.0,19.4,9.1,4.6
1978-09-13,12.62,5.0,22.2,10.2,13.0
1978-09-14,13.67,0.0,16.9,10.0,6.5
1978-09-15,14.96,0.4,17.6,13.2,10.6
1978-09-16,14.04,0.5,18.0,13.0,9.0
1978-09-17,8.25,0.0,16.8,8.0,3.5
1978-09-18,5.71,0.3,15.0,6.5,0.2
1978-09-19,1.21,0.0,16.1,10.5,4.9
1978-09-20,3.04,0.0,18.0,9.1,3.0
1978-09-21,5.5,0.0,22.3,12.2,7.0
1978-09-22,9.75,0.0,20.0,13.5,8.9
1978-09-23,11.25,0.0,21.9,12.9,7.3
1978-09-24,12.87,5.0,19.2,16.3,12.9
1978-09-25,12.75,0.1,16.5,8.4,4.1
1978-09-26,16.58,4.1,15.2,10.2,
1978-09-27,13.79,5.6,15.5,9.7,6.7
1978-09-28,19.41,1.6,15.5,11.5,10.0
1978-09-29,22.21,0.2,13.3,10.1,7.5
1978-09-30,16.92,0.0,13.1,6.6,2.9
1978-10-01,4.21,2.9,16.3,8.6,4.2
1978-10-02,6.83,0.6,13.6,9.9,6.7
1978-10-03,9.25,0.0,14.6,8.9,8.6
1978-10-04,11.29,0.0,15.7,5.9,1.1
1978-10-05,15.34,0.1,17.9,10.4,10.1
1978-10-06,8.58,0.0,18.2,11.9,8.0
1978-10-07,9.04,0.0,20.0,6.2,0.0
1978-10-08,7.62,1.8,19.5,13.9,9.0
1978-10-09,7.62,4.5,18.4,13.4,10.2
1978-10-10,6.34,9.0,17.1,11.0,7.0
1978-10-11,11.29,0.0,19.8,13.5,11.0
1978-10-12,2.13,0.0,17.1,13.2,11.6
1978-10-13,3.0,0.0,16.5,11.0,5.5
1978-10-14,1.25,0.0,14.0,10.6,6.0
1978-10-15,7.41,0.1,13.3,10.8,10.8
1978-10-16,15.83,0.3,11.7,7.1,4.0
1978-10-17,12.62,0.0,12.6,8.5,6.0
1978-10-18,4.58,0.1,11.7,7.0,1.6
1978-10-19,5.54,0.0,13.8,9.2,8.8
1978-10-20,9.21,4.4,15.7,10.2,8.9
1978-10-21,9.67,0.4,15.7,10.5,10.1
1978-10-22,8.29,0.0,13.7,9.5,6.9
1978-10-23,11.0,0.0,14.1,3.1,1.3
1978-10-24,17.67,0.0,15.9,8.6,11.0
1978-10-25,16.17,0.0,18.5,12.7,10.7
1978-10-26,8.58,0.0,16.8,11.9,10.0
1978-10-27,1.83,0.0,17.2,10.5,5.0
1978-10-28,2.42,0.0,15.9,3.9,-1.9
1978-10-29,3.42,0.0,17.0,3.6,3.2
1978-10-30,8.92,4.0,16.8,11.1,7.3
1978-10-31,4.63,2.0,12.5,10.0,7.0
1978-11-01,8.17,2.2,15.9,2.9,-2.0
1978-11-02,10.0,0.1,13.0,9.6,4.5
1978-11-03,13.21,0.0,16.8,10.5,7.0
1978-11-04,14.58,0.0,18.3,10.9,9.6
1978-11-05,8.92,0.0,16.2,13.4,7.9
1978-11-06,12.21,0.0,15.5,8.8,2.5
1978-11-07,19.29,0.0,14.8,11.7,8.0
1978-11-08,8.87,0.0,14.5,7.9,5.0
1978-11-09,6.21,0.0,13.5,6.4,-0.9
1978-11-10,5.91,0.0,16.0,7.5,0.7
1978-11-11,4.12,0.0,16.3,7.0,2.0
1978-11-12,14.96,5.2,13.0,10.4,5.2
1978-11-13,16.5,0.0,14.6,5.1,1.0
1978-11-14,17.54,10.9,15.6,8.6,12.4
1978-11-15,20.12,10.8,15.5,10.5,10.6
1978-11-16,17.67,0.2,11.4,4.9,0.0
1978-11-17,17.58,1.4,16.0,5.9,5.5
1978-11-18,12.08,4.0,15.5,9.5,9.2
1978-11-19,11.08,0.0,9.0,7.4,6.5
1978-11-20,16.08,2.0,11.6,3.5,-0.3
1978-11-21,14.67,0.2,13.3,5.0,1.6
1978-11-22,16.71,0.0,14.0,8.6,7.2
1978-11-23,12.25,16.1,14.0,9.8,7.9
1978-11-24,7.17,1.0,7.5,4.4,-0.5
1978-11-25,14.62,2.0,3.7,0.5,-4.0
1978-11-26,8.08,0.1,3.8,-0.5,-3.8
1978-11-27,2.33,0.1,5.0,-2.5,-8.0
1978-11-28,1.96,0.1,4.9,-3.4,-8.4
1978-11-29,4.38,6.8,6.8,-4.3,-8.0
1978-11-30,7.5,1.4,7.5,4.4,1.2
1978-12-01,21.54,7.0,7.7,5.2,1.1
1978-12-02,12.33,2.9,10.6,5.0,3.5
1978-12-03,17.46,2.4,10.9,5.1,4.0
1978-12-04,8.38,0.0,8.3,3.6,-2.0
1978-12-05,13.92,0.0,9.3,-0.4,-4.3
1978-12-06,24.54,0.3,9.0,3.5,6.1
1978-12-07,19.92,27.2,11.2,6.9,5.4
1978-12-08,10.34,8.6,10.7,6.6,4.5
1978-12-09,10.75,1.5,14.5,7.2,1.5
1978-12-10,13.21,4.3,14.5,9.0,5.0
1978-12-11,14.83,18.8,12.0,9.5,4.5
1978-12-12,10.54,3.1,11.0,7.9,3.0
1978-12-13,13.0,13.2,,,
1978-12-14,8.83,6.4,,,
1978-12-15,12.67,0.8,,,
1978-12-16,9.13,0.0,6.1,3.8,0.3
1978-12-17,2.46,0.0,3.6,-0.9,-6.0
1978-12-18,2.42,0.1,6.9,-3.5,-7.8
1978-12-19,4.75,0.0,8.1,-3.4,-6.0
1978-12-20,4.54,12.6,5.0,-4.5,-10.5
1978-12-21,11.67,4.2,5.2,-5.0,-0.1
1978-12-22,2.46,1.9,6.4,-2.1,-6.2
1978-12-23,16.5,28.2,6.4,-1.7,-6.0
1978-12-24,12.25,4.9,6.5,4.3,4.1
1978-12-25,8.71,8.5,7.5,3.3,-0.2
1978-12-26,1.96,9.0,9.8,2.3,-2.0
1978-12-27,14.46,16.8,9.8,4.0,0.0
1978-12-28,14.33,16.0,9.1,8.5,8.0
1978-12-29,19.17,14.7,5.0,3.5,3.2
1978-12-30,18.08,4.9,2.9,0.3,-0.5
1978-12-31,19.25,0.5,1.2,-1.5,-3.0
